Sr.No.,Unnamed: 1,Technical name as per the Schema in Excel,Attribute name as per the JSON,for excel headers,for Upload file headers,Txn_Headers,Failed Txn,Failed_txn_for_excel,Pass Txn,Pass Txn Group By Columns,Pass_txn_for_excel,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,(Published in GSTN Portal),(ListName.ObjectName.AttributeName),,,,,,,,,Data Type,Data Format,Sample Data,Is Mandatory or Optional
1,1.0,Version,Version,"'Version',",Version,"'Version',","'1|Version|Version',Version,","Version,","'1|Version|Version',Version,","Version,","Version,",String(10),,1.01,Mandatory
1.1,2.0,IRN,Irn,"'IRN',",IRN,"'Irn',","'2|Irn|IRN',Irn,","Irn,","'2|Irn|IRN',Irn,","Irn,","Irn,",,,,Optional
1.2,3.0,Supply_Type_Code,TranDtls.SupTyp,"'Supply_Type_Code',",Supply_Type_Code,"'TranDtlsSupTyp',","'3|TranDtlsSupTyp|Supply_Type_Code',TranDtlsSupTyp,","TranDtlsSupTyp,","'3|TranDtlsSupTyp|Supply_Type_Code',TranDtlsSupTyp,","TranDtlsSupTyp,","TranDtlsSupTyp,",String(10),"B2B  ,SEZWP , SEZWOP, EXP
WP , EXPWOP , DEXP 

","B2B

",Mandatory
1.3,4.0,Document_Type_Code,DocDtls.Typ,"'Document_Type_Code',",Document_Type_Code,"'DocDtlsTyp',","'4|DocDtlsTyp|Document_Type_Code',DocDtlsTyp,","DocDtlsTyp,","'4|DocDtlsTyp|Document_Type_Code',DocDtlsTyp,","DocDtlsTyp,","DocDtlsTyp,",String(11),"INV-Invoice ,CRN-Credit Note, DBN-Debit Note",INV,Mandatory
1.4,5.0,Document_Num,DocDtls.No,"'Document_Num',",Document_Num,"'DocDtlsNo',","'5|DocDtlsNo|Document_Num',DocDtlsNo,","DocDtlsNo,","'5|DocDtlsNo|Document_Num',DocDtlsNo,","DocDtlsNo,","DocDtlsNo,",String (16),"Alphanumeric, / , - ", 455/1,Mandatory
1.5,6.0,Document_Date,DocDtls.Dt,"'Document_Date',",Document_Date,"'DocDtlsDt',","'6|DocDtlsDt|Document_Date',DocDtlsDt,","DocDtlsDt,","'6|DocDtlsDt|Document_Date',DocDtlsDt,","DocDtlsDt,","DocDtlsDt,",String (10),DD/MM/YYYY,  21/11/2019,Mandatory
1.6,7.0,Additional_Currency_Code,ExpDtls.ForCur,"'Additional_Currency_Code',",Additional_Currency_Code,"'ExpDtlsForCur',","'7|ExpDtlsForCur|Additional_Currency_Code',ExpDtlsForCur,","ExpDtlsForCur,","'7|ExpDtlsForCur|Additional_Currency_Code',ExpDtlsForCur,","ExpDtlsForCur,","ExpDtlsForCur,",String (16) ,(Refer Currency Master),USD,Optional
1.7,8.0,Reverse_Charge,TranDtls.RegRev,"'Reverse_Charge',",Reverse_Charge,"'TranDtlsRegRev',","'8|TranDtlsRegRev|Reverse_Charge',TranDtlsRegRev,","TranDtlsRegRev,","'8|TranDtlsRegRev|Reverse_Charge',TranDtlsRegRev,","TranDtlsRegRev,","TranDtlsRegRev,",Character,Y-Yes / N -No,Y,Optional
1.8,9.0,IGST_on_IntraState_Supply,TranDtls.IgstOnIntra,"'IGST_on_IntraState_Supply',",IGST_on_IntraState_Supply,"'TranDtlsIgstOnIntra',","'9|TranDtlsIgstOnIntra|IGST_on_IntraState_Supply',TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,","'9|TranDtlsIgstOnIntra|IGST_on_IntraState_Supply',TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,","TranDtlsIgstOnIntra,",String(1),Y-Yes / N -No,,Optional
2.1,10.0,Document_Period_Start _Date,RefDtls.DocPerdDtls.InvStDt,"'Document_Period_Start _Date',",Document_Period_Start _Date,"'RefDtlsDocPerdDtlsInvStDt',","'10|RefDtlsDocPerdDtlsInvStDt|Document_Period_Start_Date',RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,","'10|RefDtlsDocPerdDtlsInvStDt|Document_Period_Start_Date',RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,","RefDtlsDocPerdDtlsInvStDt,",String (10),DD/MM/YYYY,  21/11/2019,Mandatory
2.2,11.0,Document_Period_End_ Date,RefDtls.DocPerdDtls.InvEndDt,"'Document_Period_End_ Date',",Document_Period_End_ Date,"'RefDtlsDocPerdDtlsInvEndDt',","'11|RefDtlsDocPerdDtlsInvEndDt|Document_Period_End_Date',RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,","'11|RefDtlsDocPerdDtlsInvEndDt|Document_Period_End_Date',RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,","RefDtlsDocPerdDtlsInvEndDt,",String(10),DD/MM/YYYY,  21/11/2019,Mandatory
3.1.1,12.0,Preceding_Document_ Number,RefDtls.PrecDocDtls.InvNo,"'Preceding_Document_ Number',",Preceding_Document_ Number,"'RefDtlsPrecDocDtlsInvNo',","'12|RefDtlsPrecDocDtlsInvNo|Preceding_Document_Number',RefDtlsPrecDocDtlsInvNo,","RefDtlsPrecDocDtlsInvNo,","'12|RefDtlsPrecDocDtlsInvNo|Preceding_Document_Number',MAX(RefDtlsPrecDocDtlsInvNo),",,"MAX(RefDtlsPrecDocDtlsInvNo),",String(16),"""Pattern"" : ^[1-9A-Za-z]{1}[0-9A-Za-z/-]{3,15}$
""minLength"": 3,
""maxLength"": 16",YGlSB2I7p,Mandatory
3.1.2,13.0,Preceding_Document_ Date,RefDtls.PrecDocDtls.InvDt,"'Preceding_Document_ Date',",Preceding_Document_ Date,"'RefDtlsPrecDocDtlsInvDt',","'13|RefDtlsPrecDocDtlsInvDt|Preceding_Document_Date',RefDtlsPrecDocDtlsInvDt,","RefDtlsPrecDocDtlsInvDt,","'13|RefDtlsPrecDocDtlsInvDt|Preceding_Document_Date',MAX(RefDtlsPrecDocDtlsInvDt),",,"MAX(RefDtlsPrecDocDtlsInvDt),",String(10),DD/MM/YYYY,  21/11/2019,Mandatory
3.1.3,14.0,Other_ Reference,RefDtls.PrecDocDtls.OthRefNo,"'Other_ Reference',",Other_ Reference,"'RefDtlsPrecDocDtlsOthRefNo',","'14|RefDtlsPrecDocDtlsOthRefNo|Other_Reference',RefDtlsPrecDocDtlsOthRefNo,","RefDtlsPrecDocDtlsOthRefNo,","'14|RefDtlsPrecDocDtlsOthRefNo|Other_Reference',MAX(RefDtlsPrecDocDtlsOthRefNo),",,"MAX(RefDtlsPrecDocDtlsOthRefNo),",String(20),"minLength: 3,maxLength: 20",,Optional
3.2.1,15.0,Receipt_Advice_Reference,RefDtls.ContrDtls.RecAdvRefr,"'Receipt_Advice_Reference',",Receipt_Advice_Reference,"'RefDtlsContrDtlsRecAdvRefr',","'15|RefDtlsContrDtlsRecAdvRefr|Receipt_Advice_Reference',RefDtlsContrDtlsRecAdvRefr,","RefDtlsContrDtlsRecAdvRefr,","'15|RefDtlsContrDtlsRecAdvRefr|Receipt_Advice_Reference',MAX(RefDtlsContrDtlsRecAdvRefr),",,"MAX(RefDtlsContrDtlsRecAdvRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
3.2.2,16.0,Receipt_Advice _Date,RefDtls.ContrDtls.RecAdvDt,"'Receipt_Advice _Date',",Receipt_Advice _Date,"'RefDtlsContrDtlsRecAdvDt',","'16|RefDtlsContrDtlsRecAdvDt|Receipt_Advice_Date',RefDtlsContrDtlsRecAdvDt,","RefDtlsContrDtlsRecAdvDt,","'16|RefDtlsContrDtlsRecAdvDt|Receipt_Advice_Date',MAX(RefDtlsContrDtlsRecAdvDt),",,"MAX(RefDtlsContrDtlsRecAdvDt),",String (10),DD/MM/YYYY,  21/11/2019,
3.2.3,17.0,Tender_or_Lot_Reference,RefDtls.ContrDtls.TendRefr,"'Tender_or_Lot_Reference',",Tender_or_Lot_Reference,"'RefDtlsContrDtlsTendRefr',","'17|RefDtlsContrDtlsTendRefr|Tender_or_Lot_Reference',RefDtlsContrDtlsTendRefr,","RefDtlsContrDtlsTendRefr,","'17|RefDtlsContrDtlsTendRefr|Tender_or_Lot_Reference',MAX(RefDtlsContrDtlsTendRefr),",,"MAX(RefDtlsContrDtlsTendRefr),",String(20),"pattern: ""^([0-9A-Z-a-z/]){3,20}$"",""minLength"": 3,""maxLength"": 20",xprQoA,Optional
