Port Code,Port,State,Port Code Details
INCNB1,Car-Nicobar,Andaman and Nicobar,Port code for Car-Nicobar is INCNB1
INCRN1,Cornwallis,Andaman and Nicobar,Port code for Cornwallis is INCRN1
INMYB1,Mayabandar,Andaman and Nicobar,Port code for Mayabandar is INMYB1
INESH1,Elphinstone Harbour,Andaman and Nicobar,Port code for Elphinstone Harbour is INESH1
INRGT1,Ranghat Bay,Andaman and Nicobar,Port code for Ranghat Bay is INRGT1
INMDW1,Meadows,Andaman and Nicobar,Port code for Meadows is INMDW1
INNAN1,Nancowrie,Andaman and Nicobar Isl.,Port code for Nancowrie is INNAN1
INIXZ1,Port Blair,Andaman and Nicobar Isl.,Port code for Port Blair is INIXZ1
INIXZ4,Port Blair,Andaman and Nicobar Isl.,Port code for Port Blair is INIXZ4
INHYD4,Hyderabad Air Cargo,Andhra Pradesh,Port code for Hyderabad Air Cargo is INHYD4
INBNP1,Bheemunipatnam,Andhra Pradesh,Port code for Bheemunipatnam is INBNP1
INNVP1,Navaspur,Andhra Pradesh,Port code for Navaspur is INNVP1
INVTZ1,Vizac Sea,Andhra Pradesh,Port code for Vizac Sea is INVTZ1
INSRV1,Surasani – Yanam,Andhra Pradesh,Port code for Surasani – Yanam is INSRV1
INVTZ6,Visakhapatnam (EPZ/SEZ),Andhra Pradesh,Port code for Visakhapatnam (EPZ/SEZ) is INVTZ6
INVRU1,Vadarevu,Andhra Pradesh,Port code for Vadarevu is INVRU1
INKAK1,Kakinada,Andhra Pradesh,Port code for Kakinada is INKAK1
INRPL6,Raddipalem,Andhra Pradesh,Port code for Raddipalem is INRPL6
INKDD6,Karedu,Andhra Pradesh,Port code for Karedu is INKDD6
INVTZ4,Vishakapatnam,Andhra Pradesh,Port code for Vishakapatnam is INVTZ4
INAPT6,Anaparthi,Andhra Pradesh,Port code for Anaparthi is INAPT6
INCLX6,Chirala,Andhra Pradesh,Port code for Chirala is INCLX6
INSNF6,Hyderabad,Andhra Pradesh,Port code for Hyderabad is INSNF6
INCOI6,Kakinada,Andhra Pradesh,Port code for Kakinada is INCOI6
INMAP1,Masulipatnam,Andhra Pradesh,Port code for Masulipatnam is INMAP1
INKRI1,Krishnapatnam,Andhra Pradesh,Port code for Krishnapatnam is INKRI1
INAKP6,APIICL SEZ/Visakhapatnam,Andhra Pradesh,Port code for APIICL SEZ/Visakhapatnam is INAKP6
INTNI6,HIPL SEZ/Visakhapatnam,Andhra Pradesh,Port code for HIPL SEZ/Visakhapatnam is INTNI6
INAKR6,RPCIPL SEZ/Visakhapatnam,Andhra Pradesh,Port code for RPCIPL SEZ/Visakhapatnam is INAKR6
INVZM6,DLL SEZ/Visakhapatnam,Andhra Pradesh,Port code for DLL SEZ/Visakhapatnam is INVZM6
INAKB6,BIACPL SEZ/Visakhapatnam,Andhra Pradesh,Port code for BIACPL SEZ/Visakhapatnam is INAKB6
INNRP6,AAL-SEZ/Visakhapatnam,Andhra Pradesh,Port code for AAL-SEZ/Visakhapatnam is INNRP6
INMOV6,VBTL-SEZ/Medak,Andhra Pradesh,Port code for VBTL-SEZ/Medak is INMOV6
INKVR6,WFPML-SEZ/KOVVUR,Andhra Pradesh,Port code for WFPML-SEZ/KOVVUR is INKVR6
INFMA6,APIICL/Medak District,Andhra Pradesh,Port code for APIICL/Medak District is INFMA6
INFMH6,hgsezl/Ranga Reddy,Andhra Pradesh,Port code for hgsezl/Ranga Reddy is INFMH6
INCOA6,KSPL-SEZ/KAKINADA,Andhra Pradesh,Port code for KSPL-SEZ/KAKINADA is INCOA6
INGLY6,APIICL-SEZ/MAHABOOBNAGAR,Andhra Pradesh,Port code for APIICL-SEZ/MAHABOOBNAGAR is INGLY6
INSPE6,ASDIPL-SEZ/NELLORE,Andhra Pradesh,Port code for ASDIPL-SEZ/NELLORE is INSPE6
INCOP6,PICPL-SEZ/KAKINADA,Andhra Pradesh,Port code for PICPL-SEZ/KAKINADA is INCOP6
INMDE6,APIICL SEZ/MEDAK,Andhra Pradesh,Port code for APIICL SEZ/MEDAK is INMDE6
INKOH6,RLL-SEZ/Medak,Andhra Pradesh,Port code for RLL-SEZ/Medak is INKOH6
INURF 6,FAB CITY SPV Distt. Ranga Reddy,Andhra Pradesh,Port code for FAB CITY SPV Distt. Ranga Reddy is INURF 6
INMEA 6,APIIC-SEZ/Vill-Lalgadi Distt.-Ranga,Andhra Pradesh,Port code for APIIC-SEZ/Vill-Lalgadi Distt.-Ranga is INMEA 6
IN DBS 6,SANTA-SEZ/Vill-Muppireddipally,Andhra Pradesh,Port code for SANTA-SEZ/Vill-Muppireddipally is IN DBS 6
IN URG 6,GMR Hyderabad,Andhra Pradesh,Port code for GMR Hyderabad is IN URG 6
IN TAS 6,Sri City Private Limited,Andhra Pradesh,Port code for Sri City Private Limited is IN TAS 6
IN GNR 6,"LIPL-ICD/Marripalem, Guntur",Andhra Pradesh,"Port code for LIPL-ICD/Marripalem, Guntur is IN GNR 6"
IN FMS 6,Stargaze/Rangareddy/SEZ,Andhra Pradesh,Port code for Stargaze/Rangareddy/SEZ is IN FMS 6
IN FMJ 6,J T/SEZ/Rangareddy,Andhra Pradesh,Port code for J T/SEZ/Rangareddy is IN FMJ 6
IN LPI 6,Sundew/SEZ/Rangareddy,Andhra Pradesh,Port code for Sundew/SEZ/Rangareddy is IN LPI 6
IN LPD 6,DLF/SEZ/Rangareddy,Andhra Pradesh,Port code for DLF/SEZ/Rangareddy is IN LPD 6
IN TMI 6,IIFFCO/SEZ/Nellore,Andhra Pradesh,Port code for IIFFCO/SEZ/Nellore is IN TMI 6
IN HUR 6,Rassi/SEZ/Anantpur,Andhra Pradesh,Port code for Rassi/SEZ/Anantpur is IN HUR 6
IN VZR 6,Reddy’r/SEZ/Srikakulam,Andhra Pradesh,Port code for Reddy’r/SEZ/Srikakulam is IN VZR 6
IN CDP 6,APIIC/SEZ/Cuddapah,Andhra Pradesh,Port code for APIIC/SEZ/Cuddapah is IN CDP 6
INTMX6,M/s CONTINENTAL MULTIMODAL,Andhra Pradesh,Port code for M/s CONTINENTAL MULTIMODAL is INTMX6
INNPGB,TNEaRmMpIoNnAgLS LTD.,Arunachal Pradesh,Port code for TNEaRmMpIoNnAgLS LTD. is INNPGB
INDRGB,Darranga,Assam,Port code for Darranga is INDRGB
INGAU4,Gauhati,Assam,Port code for Gauhati is INGAU4
INGHWB,Gauhati Steamerghat,Assam,Port code for Gauhati Steamerghat is INGHWB
INDHBB,Dhubri Steamerghat,Assam,Port code for Dhubri Steamerghat is INDHBB
INGTGB,Gitaldah road,Assam,Port code for Gitaldah road is INGTGB
INGKJ2,Golakganj Raiiway Station,Assam,Port code for Golakganj Raiiway Station is INGKJ2
INHTSB,Hatisar,Assam,Port code for Hatisar is INHTSB
INKGJB,Karimganj Steamerghat and Ferry,Assam,Port code for Karimganj Steamerghat and Ferry is INKGJB
INSTRB,Sutarkandi,Assam,Port code for Sutarkandi is INSTRB
INSLRB,Silcher Steamerghat,Assam,Port code for Silcher Steamerghat is INSLRB
INSLR2,Silcher R.M.S. Office,Assam,Port code for Silcher R.M.S. Office is INSLR2
INPHBB,Phulbari,Assam,Port code for Phulbari is INPHBB
INNMTB,Neamati steamer Ghat,Assam,Port code for Neamati steamer Ghat is INNMTB
INMNUB,Manu,Assam,Port code for Manu is INMNUB
INMKCB,Manikarchar,Assam,Port code for Manikarchar is INMKCB
INMHN2,Mahisashan Railway Station,Assam,Port code for Mahisashan Railway Station is INMHN2
INLTBB,Latu Bazar,Assam,Port code for Latu Bazar is INLTBB
INULPB,Ultapani,Assam,Port code for Ultapani is INULPB
INTJPB,Tezpur Steamerghat,Assam,Port code for Tezpur Steamerghat is INTJPB
