Locked,Name,Version,Created By,Created On,Status,Published
N,dq_stg_invoice_details_ItemList_hsn_code,1632239831,aroy,Tue Sep 21 11:57:11 EDT 2021,Y,N
N,dq_item_2,1632237520,aroy,Tue Sep 21 11:18:40 EDT 2021,Y,N
N,dq_item_9,1632222806,aroy,Tue Sep 21 07:13:26 EDT 2021,Y,N
N,dq_item_8,1632222782,aroy,Tue Sep 21 07:13:02 EDT 2021,Y,N
N,dq_item_5,1632216460,aroy,Tue Sep 21 05:27:40 EDT 2021,Y,N
N,dq_item_4,1632216430,aroy,Tue Sep 21 05:27:10 EDT 2021,Y,N
N,dq_item_3,1632216402,aroy,Tue Sep 21 05:26:42 EDT 2021,Y,N
N,dq_item_10,1632216219,aroy,Tue Sep 21 05:23:39 EDT 2021,Y,N
N,dq_item_7,1632216163,aroy,Tue Sep 21 05:22:43 EDT 2021,Y,N
N,dq_item_6,1632216097,aroy,Tue Sep 21 05:21:37 EDT 2021,Y,N
N,dq_trx_19,1632215758,aroy,Tue Sep 21 05:15:58 EDT 2021,Y,N
N,dq_trx_18,1632215711,aroy,Tue Sep 21 05:15:11 EDT 2021,Y,N
N,dq_trx_17,1632215675,aroy,Tue Sep 21 05:14:35 EDT 2021,Y,N
N,dq_trx_16,1632215636,aroy,Tue Sep 21 05:13:56 EDT 2021,Y,N
N,dq_trx_15,1632215588,aroy,Tue Sep 21 05:13:08 EDT 2021,Y,N
N,dq_trx_14,1632215546,aroy,Tue Sep 21 05:12:26 EDT 2021,Y,N
N,dq_trx_13,1632215494,aroy,Tue Sep 21 05:11:34 EDT 2021,Y,N
N,dq_item_12,1632215369,aroy,Tue Sep 21 05:09:29 EDT 2021,Y,N
N,dq_item_11,1632215300,aroy,Tue Sep 21 05:08:20 EDT 2021,Y,N
N,dq_item_1,1632214973,aroy,Tue Sep 21 05:02:53 EDT 2021,Y,N
N,dq_stg_invoice_data_itemlist_igst_tax_rate_value_,1631887267,aroy,Fri Sep 17 10:01:07 EDT 2021,Y,N
N,dq_stg_invoice_details_RefDtls_DocPerdDtls_document_period_end_date,1631710674,aroy,Wed Sep 15 08:57:54 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_AttribDtls_attribute_value,1631710626,aroy,Wed Sep 15 08:57:06 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_total_invoice_value_fcnr,1631710519,aroy,Wed Sep 15 08:55:19 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_total_invoice_value_inr,1631710499,aroy,Wed Sep 15 08:54:59 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_other_charges_invoice_level,1631710450,aroy,Wed Sep 15 08:54:10 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_state_cess_amt,1631710430,aroy,Wed Sep 15 08:53:50 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_discount_amt_invoice_level,1631710414,aroy,Wed Sep 15 08:53:34 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_cess_amt,1631710384,aroy,Wed Sep 15 08:53:04 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_igst_amt,1631710335,aroy,Wed Sep 15 08:52:15 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_item_igst_amt,1631710232,aroy,Wed Sep 15 08:50:32 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_sgst_amt,1631710209,aroy,Wed Sep 15 08:50:09 EDT 2021,Y,N
N,dq_stg_invoice_details_ValDtls_taxable_value,1631710186,aroy,Wed Sep 15 08:49:46 EDT 2021,Y,N
N,dq_stg_invoice_details_ItemList_quantity,1631709590,aroy,Wed Sep 15 08:39:50 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_gstin,1631709516,aroy,Wed Sep 15 08:38:36 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_gstin,1631709480,aroy,Wed Sep 15 08:38:00 EDT 2021,Y,N
