Locked,Name,Version,Created By
N,dq_stg_invoice_details_ItemList_hsn_code,1632239831,aroy
N,dq_item_2,1632237520,aroy
N,dq_item_9,1632222806,aroy
N,dq_item_8,1632222782,aroy
N,dq_item_5,1632216460,aroy
N,dq_item_4,1632216430,aroy
N,dq_item_3,1632216402,aroy
N,dq_item_10,1632216219,aroy
N,dq_item_7,1632216163,aroy
N,dq_item_6,1632216097,aroy
N,dq_trx_19,1632215758,aroy
N,dq_trx_18,1632215711,aroy
N,dq_trx_17,1632215675,aroy
N,dq_trx_16,1632215636,aroy
N,dq_trx_15,1632215588,aroy
N,dq_trx_14,1632215546,aroy
N,dq_trx_13,1632215494,aroy
N,dq_item_12,1632215369,aroy
N,dq_item_11,1632215300,aroy
N,dq_item_1,1632214973,aroy
N,dq_stg_invoice_data_itemlist_igst_tax_rate_value_,1631887267,aroy
N,dq_stg_invoice_details_RefDtls_DocPerdDtls_document_period_end_date,1631710674,aroy
N,dq_stg_invoice_details_ItemList_AttribDtls_attribute_value,1631710626,aroy
